Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1uF,
C2,1206,1,10uF,
J1,DB301V-3.5-2P-GN-S,1,Screw terminal,
"J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,11,BM04B-SRSS-TB,
MCU1,ProMicro,1,ATMEGA32UA_PROMICRO,
"Q1, Q10, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,10,2N7002,
"R1, R11, R13, R15, R17, R19, R2, R21, R23, R25, R27, R3, R4, R5, R6, R9",0805,16,10k,
"R10, R12, R14, R16, R18, R20, R22, R24, R26, R28",0805,10,1k,
"R7, R8",0805,2,4.7k,
SW1,YTS-C015-X,1,YTSA010,
"TP1, TP2, TP3, TP4, TP5",TestPoint_THTPad_D3.0mm_Drill1.5mm,5,TestPoint_Probe,
U1,DIP-28_W7.62mm,1,MCP23017_SP,
