Designator,Mid X,Mid Y,Rotation,Layer
C1,101.0,-66.27,270.0,top
C2,99.0,-65.725,270.0,top
J1,55.75,-97.25,0.0,top
J10,146.55,-60.6,270.0,top
J11,146.55,-72.75,270.0,top
J12,146.55,-84.9,270.0,top
J2,94.7,-97.65,180.0,top
J3,27.2,-36.3,90.0,top
J4,27.2,-48.45,90.0,top
J5,27.2,-60.6,90.0,top
J6,27.2,-72.75,90.0,top
J7,27.2,-84.9,90.0,top
J8,146.55,-36.3,270.0,top
J9,146.55,-48.45,270.0,top
Q1,36.1875,-36.75,0.0,top
Q10,137.5625,-84.25,180.0,top
Q2,36.1875,-49.0,0.0,top
Q3,36.25,-61.2,0.0,top
Q4,36.3125,-73.3,0.0,top
Q5,36.1875,-85.5,0.0,top
Q6,137.8875,-36.0,180.0,top
Q7,137.5625,-47.75,180.0,top
Q8,137.5625,-60.0,180.0,top
Q9,137.8125,-72.0,180.0,top
R1,109.9125,-91.0,180.0,top
R10,32.4125,-33.35,0.0,top
R11,39.75,-46.0875,90.0,top
R12,32.4125,-45.5,0.0,top
R13,39.75,-58.4125,90.0,top
R14,32.4125,-57.65,0.0,top
R15,39.75,-70.5,90.0,top
R16,32.4125,-69.8,0.0,top
R17,39.5,-82.6625,90.0,top
R18,32.4125,-81.95,0.0,top
R19,134.25,-38.5,270.0,top
R2,109.8375,-85.5,180.0,top
R20,141.3875,-39.25,180.0,top
R21,134.0,-50.5875,270.0,top
R22,141.3875,-51.4,180.0,top
R23,134.25,-63.0875,270.0,top
R24,141.3875,-63.55,180.0,top
R25,134.25,-75.0875,270.0,top
R26,141.3875,-75.7,180.0,top
R27,134.25,-87.25,270.0,top
R28,141.3875,-87.85,180.0,top
R3,109.8375,-80.0,180.0,top
R4,109.8375,-96.25,0.0,top
R5,126.5,-95.75,180.0,top
R6,126.4125,-98.0,180.0,top
R7,90.6875,-83.25,0.0,top
R8,96.8125,-83.2,180.0,top
R9,39.5,-33.5875,90.0,top
SW1,60.5,-74.0,90.0,top
